EXPLAIN,,,,,,,,,
TAG,CV,,,,,,,,
TITLE,LABEL,Cyclic Voltammetry,Test Identifier,,,,,,
DATE,LABEL,11/12/2019,Date,,,,,,
TIME,LABEL,16:57:37,Time,,,,,,
NOTES,NOTES,1,Notes...,,,,,,
,,,,,,,,,
PSTAT,PSTAT,REF600-06034,Potentiostat,,,,,,
VINIT,POTEN,-2.00E-01,F,Initial E (V),,,,,
VLIMIT1,POTEN,-2.00E-01,F,Scan Limit 1 (V),,,,,
VLIMIT2,POTEN,1.20E+00,F,Scan Limit 2 (V),,,,,
VFINAL,POTEN,-2.00E-01,F,Final E (V),,,,,
SCANRATE,QUANT,5.00E+02,Scan Rate (mV/s),,,,,,
STEPSIZE,QUANT,1.00E+01,Step Size (mV),,,,,,
CYCLES,IQUANT,100,Cycles (#),,,,,,
IMODE,SELECTOR,1,I/E Range Mode,,,,,,
IRANGE,QUANT,1.00E+00,Max Current (mA),,,,,,
AREA,QUANT,2.00E-01,Sample Area (cm^2),,,,,,
EQDELAY,QUANT,2.00E+00,Equil. Time (s),,,,,,
IRCOMP,SELECTOR,0,IRComp,,,,,,
PFCOR,QUANT,5.00E+01,PF Corr. (ohm),,,,,,
SAMPLINGMODE,SELECTOR,1,Sampling Mode,,,,,,
EOC,QUANT,0,Open Circuit (V),,,,,,
SEQUENCER,TOGGLE,TRUE,Run as Sequence,,,,,,
PSTATMODEL,IQUANT,4,Pstat Model,,,,,,
PSTATSECTION,LABEL,REF600-06034,Pstat Section,,,,,,
PSTATSERIALNO,LABEL,6034,Pstat Serial Number,,,,,,
CTRLMODE,IQUANT,1,Control Mode,,,,,,
IESTAB,IQUANT,2,I/E Stability,,,,,,
CASPEED,IQUANT,2,Control Amp Speed,,,,,,
CONVENTION,IQUANT,1,Current Convention,,,,,,
ICHRANGE,IQUANT,2,Ich Range,,,,,,
ICHRANGEMODE,TOGGLE,F,Ich Auto Range,,,,,,
ICHOFFSETENABLE,TOGGLE,F,Ich Offset Enable,,,,,,
ICHOFFSET,QUANT,0,Ich Offset (V),,,,,,
ICHFILTER,IQUANT,2,Ich Filter,,,,,,
VCHRANGE,IQUANT,2,Vch Range,,,,,,
VCHRANGEMODE,TOGGLE,F,Vch Auto Range,,,,,,
VCHOFFSETENABLE,TOGGLE,F,Vch Offset Enable,,,,,,
VCHOFFSET,QUANT,0,Vch Offset (V),,,,,,
VCHFILTER,IQUANT,2,Vch Filter,,,,,,
ACHRANGE,IQUANT,2,Ach Range,,,,,,
ACHOFFSETENABLE,TOGGLE,F,Ach Offset Enable,,,,,,
ACHOFFSET,QUANT,0,Ach Offset (V),,,,,,
ACHFILTER,IQUANT,1,Ach Filter,,,,,,
IERANGELOWERLIMIT,IQUANT,1,I/E Range Lower Limit,,,,,,
IERANGEMODE,TOGGLE,F,I/E AutoRange,,,,,,
IERANGE,IQUANT,9,I/E Range,,,,,,
POSFEEDENABLE,TOGGLE,F,Positive Feedback IR Comp,,,,,,
POSFEEDRESISTANCE,QUANT,0,Positive Feedback Resistance (ohm),,,,,,
ACHSELECT,IQUANT,0,Ach Select,,,,,,
CABLEID,IQUANT,14,Cable ID,,,,,,
DCCALDATE,LABEL,,DC Calibration Date,,,,,,
ACCALDATE,LABEL,,AC Calibration Date,,,,,,
THERMOSELECT,IQUANT,1,Thermo Select,,,,,,
FRAMEWORKVERSION,QUANT,6.33,Framework Version,,,,,,
INSTRUMENTVERSION,LABEL,3.5,Instrument Version,,,,,,
CURVE1,TABLE,,,,,,,,
,Pt,T,Vf,Im,Vu,Sig,Ach,IERange,Over
,#,s,V vs. Ref.,A,V,V,V,#,bits
,0,0.02,-1.99E-01,-9.44E-05,0.00E+00,-2.00E-01,6.41E-04,9,...........
,1,0.04,-1.89E-01,7.82E-05,0.00E+00,-1.90E-01,6.30E-04,9,...........
,2,0.06,-1.79E-01,2.21E-04,0.00E+00,-1.80E-01,6.41E-04,9,...........
,3,0.08,-1.69E-01,3.42E-04,0.00E+00,-1.70E-01,6.26E-04,9,...........
,4,0.1,-1.59E-01,4.45E-04,0.00E+00,-1.60E-01,6.38E-04,9,...........
,5,0.12,-1.49E-01,5.33E-04,0.00E+00,-1.50E-01,6.27E-04,9,...........
,6,0.14,-1.39E-01,6.11E-04,0.00E+00,-1.40E-01,6.33E-04,9,...........
,7,0.16,-1.29E-01,6.81E-04,0.00E+00,-1.30E-01,6.43E-04,9,...........
,8,0.18,-1.19E-01,7.44E-04,0.00E+00,-1.20E-01,6.37E-04,9,...........
,9,0.2,-1.09E-01,8.04E-04,0.00E+00,-1.10E-01,6.31E-04,9,...........
,10,0.22,-9.93E-02,8.64E-04,0.00E+00,-1.00E-01,6.36E-04,9,...........
,11,0.24,-8.93E-02,9.25E-04,0.00E+00,-9.00E-02,6.34E-04,9,...........
,12,0.26,-7.93E-02,9.88E-04,0.00E+00,-8.00E-02,6.45E-04,9,...........
,13,0.28,-6.93E-02,1.05E-03,0.00E+00,-7.00E-02,6.27E-04,9,...........
,14,0.3,-5.93E-02,1.12E-03,0.00E+00,-6.00E-02,6.41E-04,9,...........
,15,0.32,-4.93E-02,1.17E-03,0.00E+00,-5.00E-02,6.38E-04,9,...........
,16,0.34,-3.93E-02,1.21E-03,0.00E+00,-4.00E-02,6.35E-04,9,...........
,17,0.36,-2.93E-02,1.21E-03,0.00E+00,-3.00E-02,6.43E-04,9,...........
,18,0.38,-1.93E-02,1.20E-03,0.00E+00,-2.00E-02,6.47E-04,9,...........
,19,0.4,-9.29E-03,1.19E-03,0.00E+00,-1.00E-02,6.33E-04,9,...........
,20,0.42,6.37E-04,1.18E-03,0.00E+00,0.00E+00,6.49E-04,9,...........
,21,0.44,1.06E-02,1.18E-03,0.00E+00,1.00E-02,6.39E-04,9,...........
,22,0.46,2.07E-02,1.19E-03,0.00E+00,2.00E-02,6.43E-04,9,...........
,23,0.48,3.06E-02,1.21E-03,0.00E+00,3.00E-02,6.29E-04,9,...........
